"Name","Date","Open","High","Low","Close","Volume"
"BVMF:SUZB3","24/04/2026 16:56:00",46.76,46.81,45.35,45.64,7909400
"BVMF:SUZB3","27/04/2026 16:56:00",45.7,45.83,45.26,45.3,3909400
"BVMF:SUZB3","28/04/2026 16:56:00",45.3,45.49,44.68,45.45,6072700
"BVMF:SUZB3","29/04/2026 16:56:00",45.5,45.61,44.63,44.82,8755800
"BVMF:SUZB3","30/04/2026 16:56:00",43.63,44.5,43.06,43.84,13209000
"BVMF:SUZB3","04/05/2026 16:56:00",44.02,44.09,42.45,42.58,7528500
"BVMF:B3SA3","06/04/2026 16:56:00",18.61,18.74,18.35,18.43,21583600
"BVMF:B3SA3","07/04/2026 16:56:00",18.24,18.31,17.79,18.05,42624300
"BVMF:B3SA3","08/04/2026 16:56:00",19.19,19.31,18.7,18.71,60763700
"BVMF:B3SA3","09/04/2026 16:56:00",18.86,19.28,18.67,19.16,40108400
"BVMF:B3SA3","10/04/2026 16:56:00",19.39,19.74,19.21,19.51,37802100
"BVMF:B3SA3","13/04/2026 16:56:00",19.4,19.41,18.81,19.26,67037700
"BVMF:B3SA3","14/04/2026 16:56:00",19.3,19.74,19.08,19.68,35228400
"BVMF:B3SA3","15/04/2026 16:56:00",19.68,19.87,19.55,19.84,39081700
"BVMF:B3SA3","16/04/2026 16:56:00",19.91,20.12,19.46,19.78,35870100
"BVMF:B3SA3","17/04/2026 16:56:00",20.2,20.33,19.41,19.43,45139000
"BVMF:B3SA3","20/04/2026 16:56:00",19.36,19.47,19.11,19.25,41040100
"BVMF:B3SA3","22/04/2026 16:56:00",19.15,19.18,18.9,19.07,24812000
"BVMF:B3SA3","23/04/2026 16:56:00",19.08,19.19,18.65,19.03,18613800
"BVMF:B3SA3","24/04/2026 16:56:00",19.07,19.07,18.65,18.98,41679200
"BVMF:B3SA3","27/04/2026 16:56:00",18.94,19.04,18.68,18.72,18924800
"BVMF:B3SA3","28/04/2026 16:56:00",18.4,18.54,18.07,18.53,24781800
"BVMF:B3SA3","29/04/2026 16:56:00",18.25,18.54,17.74,17.88,43626800
"BVMF:B3SA3","30/04/2026 16:56:00",18.12,18.27,17.88,18.03,23750100
"BVMF:B3SA3","04/05/2026 16:56:00",17.99,18.22,17.73,17.87,29385800
